NUMCP;NOMAGENT;PRENOM;ID Etablissement;ID UO;Régime;Assermentation;CODEGRADE;DATEDEBUTGRADE;DATEFINGRADE;CODENIVEAU;DATEDEBUTNIVEAU;DATEFINNIVEAU;CODEQUALIFICATION;DATEDEBUTQUALIF;DATEFINQUALIF;CODEPOSITION;DATEDEBUTPOSITION;DATEFINPOSITION;CODEECHELON;DATEDEBUTECHELON;DATEFINECHELON;Famille;Date début Famille;Date fin Famille;Typologie Agent;Date début Typologie;Date fin Typologie;Equipe;Date début Equipe;Date Fin Equipe;Résidence;Date début Résidence;Date fin Résidence;Date début en Production;Compétence Langue 1;Date début Comp Langue 1;Date fin Comp Langue 1;Compétence Langue 2;Date début Comp Langue 2;Date fin Comp Langue 2;Compténce Train 1;Date début Comp Train 1;Date fin Comp Train 1;Compténce Train 2;Date début Comp Train 2;Date début Comp Train 2;Compétence Traction 1;Date début Comp Traction 1;Date fin Comp Traction 1;Point de Vente;N° de recette;Tél Complémentaire
1207849K;NOMASCT569;LUDOVIC;870410;870402;R;O;CBORP;01/04/2013;31/12/2300;2;01/07/2000;31/12/2300;B;01/01/2000;31/12/2300;13;01/04/2013;31/12/2300;6;01/01/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;27/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;45;645859669
1208465J;NOMASCT570;LIONEL;870410;870402;R;O;CBOR;01/04/2015;31/12/2300;1;01/07/2002;31/12/2300;B;01/07/2002;31/12/2300;11;01/04/2015;31/12/2300;6;01/04/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;28/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;46;645859670
1208354A;NOMASCT571;TRISTAN;870410;870402;R;O;CBOR;01/04/2015;31/12/2300;2;01/06/2001;31/12/2300;B;01/06/2001;31/12/2300;11;01/04/2015;31/12/2300;5;01/06/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;23;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;29/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;1;645859671
1206904D;NOMASCT572;REMY;870410;870402;R;O;CBORP;01/07/2013;31/12/2300;1;01/08/2003;31/12/2300;C;01/08/2003;31/12/2300;12;01/07/2013;31/12/2300;6;01/01/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;23;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;30/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;2;645859672
1201826W;NOMASCT573;FREDERIC;870410;870402;R;O;CBORP;01/04/2017;31/12/2300;2;01/05/2000;31/12/2300;B;01/05/1999;31/12/2300;13;01/04/2017;31/12/2300;6;01/03/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;23;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;31/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;3;645859673
1209152B;NOMASCT574;ROMAIN;870410;870402;R;O;CBOR;01/07/2009;31/12/2300;2;01/02/2002;31/12/2300;B;01/03/2001;31/12/2300;11;01/07/2009;31/12/2300;7;01/09/2017;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;23;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;01/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;4;645859674
1206019H;NOMASCT575;NATHALIE;870410;870402;R;O;CBOR;01/04/2016;31/12/2300;2;01/11/2001;31/12/2300;B;01/11/2001;31/12/2300;11;01/04/2016;31/12/2300;6;01/11/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;23;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;02/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;5;645859675
1202320G;NOMASCT576;SANDRINE;870410;870402;R;O;ATTOPB1;01/03/2014;31/12/2300;1;07/06/2004;31/12/2300;A;07/06/2004;31/12/2300;6;01/03/2014;31/12/2300;1;25/03/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;23;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;03/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;6;645859676
1209082W;NOMASCT577;MARCO;870410;870402;R;O;CBORP;01/03/2015;31/12/2300;2;01/02/2001;31/12/2300;B;01/02/2001;31/12/2300;12;01/03/2015;31/12/2300;6;01/02/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;23;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;04/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;7;645859677
1211461J;NOMASCT578;GEORGES;870410;870402;R;O;CBORMP;02/01/2017;31/12/2300;2;01/04/2001;31/12/2300;C;01/01/1993;31/12/2300;18;02/01/2017;31/12/2300;10;01/10/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;23;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;05/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;8;645859678
1201973A;NOMASCT579;MARINE;870410;870402;R;O;CBOR;01/10/2013;31/12/2300;1;07/06/2004;31/12/2300;A;07/06/2004;31/12/2300;10;01/10/2013;31/12/2300;4;01/11/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;23;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;06/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;9;645859679
1210012G;NOMASCT580;FREDERIC;870410;870402;R;O;CBORP;01/01/2015;31/12/2300;1;01/11/2002;31/12/2300;B;01/11/2002;31/12/2300;12;01/01/2015;31/12/2300;5;01/10/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;23;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;07/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;10;645859680
1207766D;NOMASCT581;MOUSSA;870410;870402;R;O;CBORP;01/04/2014;31/12/2300;2;01/07/1998;31/12/2300;B;01/01/1998;31/12/2300;13;01/04/2014;31/12/2300;7;01/07/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;23;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;08/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;11;645859681
1206450T;NOMASCT582;ALEXANDRE;870410;870402;R;O;CBOR;01/12/2011;31/12/2300;2;01/03/2003;31/12/2300;B;01/06/2002;31/12/2300;11;01/12/2011;31/12/2300;5;01/06/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;09/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;34567900;47;645859682
1205709J;NOMASCT583;CYRILLE;870410;870402;R;O;ACTP;01/07/2009;31/12/2300;2;01/05/1999;31/12/2300;B;01/05/1998;31/12/2300;10;01/07/2009;31/12/2300;1;01/07/2009;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;10/09/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;34567900;48;645859683
1205709J;NOMASCT584;CYRILLE;870410;870402;R;O;ACTP;01/07/2009;31/12/2300;2;01/05/1999;31/12/2300;A;01/07/2008;31/12/2300;10;01/07/2009;31/12/2300;1;01/07/2009;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;11/09/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;34567900;49;645859684
1205709J;NOMASCT585;CYRILLE;870410;870402;R;O;ACTP;01/07/2009;31/12/2300;1;01/07/2008;31/12/2300;B;01/05/1998;31/12/2300;10;01/07/2009;31/12/2300;1;01/07/2009;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;12/09/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;34567900;50;645859685
1311692C;NOMASCT889;GABRIEL;870410;870403;R;O;CBORMP;01/04/2017;31/12/2300;2;01/04/1999;31/12/2300;C;01/10/1992;31/12/2300;18;01/04/2017;31/12/2300;10;01/11/2011;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;13/09/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;34567900;51;645859686
1303649L;NOMASCT890;AUDREY;870410;870403;R;O;CBORP;01/10/2013;31/12/2300;2;01/06/2000;31/12/2300;B;01/11/1998;31/12/2300;12;01/10/2013;31/12/2300;6;01/11/2011;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;14/09/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;34567900;52;645859687
1302857M;NOMASCT891;FATIMA;870410;870403;R;O;CBOR;01/07/2012;31/12/2300;2;01/08/2002;31/12/2300;B;01/08/2001;31/12/2300;11;01/07/2012;31/12/2300;5;01/08/2011;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;15/09/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;34567900;53;645859688
1306500E;NOMASCT892;ALAIN;870410;870403;R;O;CBORMP;01/04/2013;31/12/2300;2;01/04/2004;31/12/2300;C;01/07/1996;31/12/2300;17;01/04/2013;31/12/2300;10;01/07/2011;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;16/09/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;34567900;54;645859689
1309225M;NOMASCT893;YVES;870410;870403;R;O;CBORM;01/06/2012;31/12/2300;1;01/10/1998;31/12/2300;C;01/10/1998;31/12/2300;15;01/06/2012;31/12/2300;10;01/02/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;17/09/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;34567900;55;645859690
1304785S;NOMASCT894;ANNA;870410;870403;R;O;CBORP;01/04/2014;31/12/2300;2;01/10/2001;31/12/2300;B;01/10/2001;31/12/2300;13;01/04/2014;31/12/2300;7;01/04/2016;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;18/09/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;34567900;56;645859691
1310820P;NOMASCT895;MARC;870410;870403;R;O;CBOR;01/04/2012;31/12/2300;2;01/05/2002;31/12/2300;B;01/05/2002;31/12/2300;10;01/04/2012;31/12/2300;5;01/05/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;19/09/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;34567900;57;645859692
1304610P;NOMASCT896;YVES;870410;870403;R;O;CBORP;01/04/2014;31/12/2300;1;01/02/2003;31/12/2300;C;01/02/2003;31/12/2300;13;01/04/2014;31/12/2300;7;01/11/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;20/09/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;34567900;58;645859693
1305708D;NOMASCT897;SEBASTIEN;870410;870403;R;O;CBORP;01/04/2014;31/12/2300;1;19/03/2007;31/12/2300;C;19/03/2007;31/12/2300;13;01/04/2014;31/12/2300;7;01/08/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;21/09/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;34567900;59;645859694
1305544H;NOMASCT898;KARIM;870410;870403;R;O;CBORP;01/10/2014;31/12/2300;2;01/08/2002;31/12/2300;B;01/08/2002;31/12/2300;12;01/10/2014;31/12/2300;5;01/08/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;22/09/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;47;645859695
1309043H;NOMASCT899;VERONIQUE;870410;870403;R;O;CBORP;01/04/2014;31/12/2300;2;01/02/2002;31/12/2300;B;01/02/2001;31/12/2300;12;01/04/2014;31/12/2300;6;01/02/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;23/09/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;48;645859696
1307545X;NOMASCT900;PASCAL;870410;870403;R;O;CBOR;01/04/2008;31/12/2300;2;01/10/2003;31/12/2300;B;01/07/1995;31/12/2300;10;01/04/2008;31/12/2300;8;01/09/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;24/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;49;645859697
1308839R;NOMASCT901;A RENSEIGNER;870410;870403;A;N;AAD;01/07/2008;31/12/2300;1;01/07/2008;31/12/2300;A;01/07/2008;31/12/2300;2;01/07/2008;31/12/2300;1;01/07/2008;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;25/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;50;645859698
1307049W;NOMASCT902;CHRISTIAN;870410;870403;R;O;CBORM;01/04/2014;31/12/2300;1;01/06/2001;31/12/2300;C;01/06/2001;31/12/2300;14;01/04/2014;31/12/2300;9;01/05/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;26/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;51;645859699
1301307J;NOMASCT903;JOEL;870410;870403;R;O;CBORMP;01/01/2017;31/12/2300;1;01/06/1997;31/12/2300;C;01/06/1997;31/12/2300;16;01/01/2017;31/12/2300;10;01/03/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;27/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;52;645859700
1309144T;NOMASCT904;GREGORY;870410;870403;R;O;CBORP;01/01/2017;31/12/2300;2;01/03/2002;31/12/2300;B;01/03/2001;31/12/2300;12;01/01/2017;31/12/2300;6;01/03/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;28/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;53;645859701
1309630M;NOMASCT905;ROMUALD;870410;870403;R;O;ACTP;01/04/2014;31/12/2300;1;12/04/2004;31/12/2300;B;12/04/2004;31/12/2300;8;01/04/2014;31/12/2300;4;01/04/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;29/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;54;645859702
1312046L;NOMASCT906;THIERRY;870410;870403;R;O;CBORP;01/07/2013;31/12/2300;1;01/09/2003;31/12/2300;C;01/09/2003;31/12/2300;12;01/07/2013;31/12/2300;7;01/12/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;30/09/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;12;645859703
1308629N;NOMASCT907;FREDERIC;870410;870403;R;O;CBORM;01/10/2015;31/12/2300;2;01/07/1999;31/12/2300;B;01/01/1992;31/12/2300;14;01/10/2015;31/12/2300;6;10/06/2005;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;01/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;13;645859704
1311868M;NOMASCT908;YOANN;870410;870403;R;O;CBORP;01/04/2016;31/12/2300;2;01/09/2001;31/12/2300;B;01/09/2001;31/12/2300;12;01/04/2016;31/12/2300;6;01/09/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;02/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;14;645859705
1306783L;NOMASCT909;DIEGO;870410;870403;R;O;CBORM;02/01/2017;31/12/2300;1;01/04/2002;31/12/2300;C;01/04/2002;31/12/2300;15;02/01/2017;31/12/2300;9;01/01/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;03/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;15;645859706
1310244T;NOMASCT910;JOANNES;870410;870403;R;O;CBORP;01/10/2016;31/12/2300;2;01/03/2002;31/12/2300;B;01/03/2001;31/12/2300;12;01/10/2016;31/12/2300;6;01/03/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;04/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;16;645859707
1308868R;NOMASCT911;OLIVIER;870410;870403;R;O;CBORM;01/04/2014;31/12/2300;1;01/08/1999;31/12/2300;C;01/08/1999;31/12/2300;15;01/04/2014;31/12/2300;10;01/07/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;05/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;17;645859708
1305483M;NOMASCT912;LUDOVIC;870410;870403;R;O;CBOR;01/05/2011;31/12/2300;2;01/06/2001;31/12/2300;B;01/06/2001;31/12/2300;11;01/05/2011;31/12/2300;5;01/06/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;06/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;18;645859709
1305967U;NOMASCT913;LEILA;870410;870403;R;O;CBORP;01/01/2016;31/12/2300;2;01/10/1998;31/12/2300;B;01/04/1998;31/12/2300;12;01/01/2016;31/12/2300;7;01/10/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;07/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;19;645859710
1307584A;NOMASCT914;JENNIFER;870410;870403;R;O;CBOR;01/07/2012;31/12/2300;2;01/04/2002;31/12/2300;B;01/04/2002;31/12/2300;11;01/07/2012;31/12/2300;6;01/04/2016;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;08/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;20;645859711
1311922W;NOMASCT915;THAVARO;870410;870403;R;O;CBOR;01/04/2013;31/12/2300;2;01/10/2001;31/12/2300;B;01/10/2001;31/12/2300;11;01/04/2013;31/12/2300;4;01/10/2009;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;09/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;21;645859712
1311504B;NOMASCT916;IGNACE;870410;870403;R;O;CBORM;04/04/2013;31/12/2300;1;01/04/2000;31/12/2300;C;01/04/2000;31/12/2300;14;04/04/2013;31/12/2300;8;01/02/2009;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;10/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;22;645859713
1305614C;NOMASCT917;PASCAL;870410;870403;R;O;CBORP;01/06/2015;31/12/2300;1;01/09/2003;31/12/2300;C;01/09/2003;31/12/2300;13;01/06/2015;31/12/2300;9;01/07/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;11/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;23;645859714
1310338S;NOMASCT918;FERNAND;870410;870403;R;O;CBORP;01/04/2015;31/12/2300;2;01/06/1997;31/12/2300;B;01/06/1997;31/12/2300;13;01/04/2015;31/12/2300;7;01/12/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;12/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;24;645859715
1309980Y;NOMASCT919;OLIVIER;870410;870403;R;O;CBORM;01/09/2016;31/12/2300;2;01/01/2001;31/12/2300;B;01/12/1999;31/12/2300;14;01/09/2016;31/12/2300;7;01/02/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;13/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;25;645859716
1306650U;NOMASCT920;SEVERINE;870410;870403;R;O;CBORP;01/04/2017;31/12/2300;2;01/05/2002;31/12/2300;B;01/05/2001;31/12/2300;12;01/04/2017;31/12/2300;7;01/11/2017;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;24;01/04/2000;31/12/2300;DAX;01/04/2000;31/12/2300;14/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;56790122;26;645859717
3108990W;NOMADC1;JEROME;327130;327101;R;O;CBORP;01/01/2017;31/12/2300;2;01/01/2003;31/12/2300;B;01/01/2002;31/12/2300;12;01/01/2017;31/12/2300;6;01/01/2015;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;31;01/04/2000;31/12/2300;TH;01/04/2000;31/12/2300;15/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;79012344;1;645859718
3112571L;NOMADC2;DOMINIQUE;327130;327101;R;O;CBORM;01/10/2015;30/06/2018;1;01/05/2002;31/12/2300;C;01/05/2002;31/12/2300;16;01/07/2018;31/12/2300;9;01/03/2015;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;31;01/04/2000;31/12/2300;TH;01/04/2000;31/12/2300;16/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;79012344;2;645859719
3108121M;NOMADC3;PATRICE;327130;327101;R;O;CBORM;01/04/2015;31/12/2300;1;01/04/2001;31/12/2300;C;01/04/2001;31/12/2300;15;01/04/2015;31/12/2300;10;01/11/2011;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;31;01/04/2000;31/12/2300;TH;01/04/2000;31/12/2300;17/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;79012344;3;645859720
3112571L;NOMADC4;DOMINIQUE;327130;327101;R;O;CBORMP;01/07/2018;31/12/2300;1;01/05/2002;31/12/2300;C;01/05/2002;31/12/2300;16;01/07/2018;31/12/2300;9;01/03/2015;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;31;01/04/2000;31/12/2300;TH;01/04/2000;31/12/2300;18/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;79012344;4;645859721
3105237C;NOMADC5;YANNICK;327130;327101;R;O;CBORMP;01/10/2017;31/12/2300;1;01/03/1999;31/12/2300;C;01/03/1999;31/12/2300;16;01/10/2017;31/12/2300;10;01/07/2011;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;31;01/04/2000;31/12/2300;TH;01/04/2000;31/12/2300;19/10/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;79012344;5;645859722
